Obs,HHMMSS,Treatment,leaf_tag_color,plant_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,Fo,Fm,Fs,Fo_prime,Fm_prime,NPQ
2,09:33:20,drought,gray,2,1843.5,0,-4.03,0.0834,467,1.54,1.7,24.38,2,4.64,1,9.29,25.20,24.38,24.97,400.64,402.34,13.887,14.645,40.29,42.49,400.0,-8,4,93.33,-5.28,0.0874,1.0,-1.36,7.36,1.00,0.00,0.16,111115,152.3,918.7,0.0,0.0,0.0,0.000
4,09:46:31,drought,gray,2,2632.5,0,-0.163,0.115,391,2.04,1.64,24.30,2,4.64,1,9.29,25.21,24.30,24.97,400.55,400.22,14.108,15.112,40.89,43.80,400.0,50,4,93.34,-5.25,0.0836,0.5,-1.36,7.36,1.00,0.00,0.16,111115,152.3,918.7,661.1,586.0,2585.2,-0.645
6,09:53:53,drought,gray,2,3075.5,0,2.54,0.14,359,2.44,1.62,24.21,2,4.64,1,9.29,25.22,24.21,24.97,400.90,399.15,13.966,15.169,40.45,43.94,400.1,99,5,93.33,-5.27,0.0778,0.5,-1.36,7.36,1.00,0.00,0.16,111115,152.3,918.7,662.8,579.2,2429.9,-0.622
10,10:08:20,drought,gray,2,3944.0,0,5.43,0.178,338,3.03,1.58,24.12,2,4.64,1,9.29,25.26,24.12,24.97,401.04,397.72,13.900,15.390,40.17,44.47,400.0,149,5,93.33,-5.33,0.0729,0.8,-1.36,7.36,1.00,0.00,0.16,111115,152.3,918.7,659.4,574.4,2361.3,-0.611
14,10:23:54,drought,gray,2,4877.5,0,7.73,0.211,327,3.56,1.57,24.01,2,4.64,1,9.29,25.27,24.01,24.97,401.15,396.58,13.559,15.310,39.17,44.23,400.0,198,5,93.33,-5.23,0.0712,0.8,-1.36,7.36,1.00,0.00,0.16,111115,152.3,918.7,675.4,573.3,2296.3,-0.600
18,10:39:36,drought,gray,2,5815.0,0,11.8,0.252,308,4.22,1.57,23.97,2,4.64,1,9.29,25.29,23.97,24.97,401.27,394.55,13.145,15.225,37.91,43.91,399.9,301,6,93.31,-5.04,0.0743,0.5,-1.36,7.36,1.00,0.00,0.16,111115,152.3,918.7,711.4,567.6,2173.7,-0.577
20,10:46:29,drought,gray,2,6235.0,0,17.7,0.277,276,4.39,1.49,23.44,2,4.64,1,9.29,24.97,23.44,24.97,399.50,389.80,12.930,15.091,38.00,44.35,400.0,502,6,93.3,-5.2,0.0734,0.5,-1.36,7.36,1.00,0.00,0.16,111115,152.3,918.7,771.0,574.8,1927.3,-0.523
22,10:53:13,drought,gray,2,6637.5,0,21.5,0.305,264,4.7,1.45,23.12,2,4.64,1,9.29,24.72,23.12,24.97,399.55,387.90,12.553,14.866,37.46,44.36,400.0,750,6,93.29,-5.28,0.0677,0.8,-1.36,7.36,1.00,0.00,0.16,111115,152.3,918.7,736.9,549.1,1497.9,-0.387
24,11:03:14,drought,gray,2,7239.0,0,24.2,0.351,265,5.41,1.46,22.88,2,4.64,1,9.29,24.56,22.88,24.98,400.17,387.05,11.683,14.352,35.18,43.21,399.9,1000,6,93.28,-5.26,0.0738,0.5,-1.36,7.36,1.00,0.00,0.16,111115,152.3,918.7,677.3,514.3,1182.7,-0.223
26,11:10:22,drought,gray,2,7662.5,0,27.1,0.402,265,6.9,1.63,24.12,2,4.64,1,9.29,24.98,24.12,24.97,400.65,385.75,11.464,14.864,33.67,43.65,400.1,1499,7,93.27,-5.01,0.0682,0.2,-1.36,7.36,1.00,0.00,0.16,111115,152.3,918.7,614.1,470.8,898.8,0.022
28,11:23:53,drought,gray,2,8476.0,0,29.7,0.452,266,7.87,1.66,24.29,2,4.64,1,9.29,24.87,24.29,24.97,400.87,384.51,10.987,14.864,32.47,43.93,400.1,2001,6,93.26,-5.18,0.0674,0.5,-1.36,7.36,1.00,0.00,0.16,111115,152.3,918.7,600.0,459.1,782.7,0.174
